cell_type	motif	fc	f_fg	f_bg	n_fg	n_bg	pval	padj	label
cnidocyte	FoxQ2d	1.53111736416237	0.0741324921135647	0.0484172499435539	141	5361	8.66596740763329e-07	8.66596740763329e-07	cnidocyte
cnidocyte_gastrula	FoxQ2d	0.907169573690446	0.0443894075061917	0.048931764020272	699	4702	0.993928757565544	0.993928757565544	cnidocyte_gastrula
ecto_pharynx	FoxQ2d	1.12626648524671	0.0530040812109314	0.0470617583895529	1026	4339	0.000274656954631906	0.000274656954631906	ecto_pharynx
ectoderm	FoxQ2d	1.07037571891956	0.0502922644803765	0.046985617845612	1325	4002	0.0148834201439877	0.0148834201439877	ectoderm
ecto_aboral	FoxQ2d	1.08682782445264	0.0509847085184166	0.0469114862274475	1297	4038	0.00412667041383315	0.00412667041383315	ecto_aboral
EMS	FoxQ2d	0.746818346237977	0.0378560415483243	0.0506897584118284	933	4402	1	1	EMS
EMS_ecto_boundary	FoxQ2d	1.11969038660084	0.053499477689897	0.0477805992889792	717	4704	0.00227684543851661	0.00227684543851661	EMS_ecto_boundary
gastro_circular_muscle_1	FoxQ2d	0.786102746316896	0.0385591070522577	0.0490509761388286	76	5427	0.988076451833582	0.988076451833582	gastro_circular_muscle_1
gastro_circular_muscle_2	FoxQ2d	0.775239383165747	0.0380577427821522	0.0490916013925152	87	5415	0.994644955433424	0.994644955433424	gastro_circular_muscle_2
gastro_parietal_muscle	FoxQ2d	0.983242257181832	0.0480349344978166	0.0488536107423762	88	5410	0.579514276603848	0.579514276603848	gastro_parietal_muscle
gastro_IRF1_2	FoxQ2d	0.547397759150507	0.0268199233716475	0.0489953108563482	14	5496	0.995888596157158	0.995888596157158	gastro_IRF1_2
gastro_somatic_gonad	FoxQ2d	1.43568951448388	0.0701754385964912	0.0488792582856737	8	5504	0.195160540536804	0.195160540536804	gastro_somatic_gonad
muscle_tentacle_retractor	FoxQ2d	1.4036921454348	0.0683176771989752	0.0486699860942897	80	5425	0.00190610779191785	0.00190610779191785	muscle_tentacle_retractor
muscle_mesentery_retractor	FoxQ2d	0.71114607543147	0.0348189415041783	0.048961729111776	25	5482	0.972058626663423	0.972058626663423	muscle_mesentery_retractor
digestive_filaments_1	FoxQ2d	1.69532614568401	0.0825174825174825	0.0486735149620366	59	5449	7.92828941805425e-05	7.92828941805425e-05	digestive_filaments_1
digestive_filaments_2	FoxQ2d	2.14794333257884	0.104304635761589	0.048560236287221	63	5442	1.92073498216545e-08	1.92073498216545e-08	digestive_filaments_2
digestive_filaments_3	FoxQ2d	2.1328180080157	0.103448275862069	0.0485030956571459	75	5429	1.31830427235586e-09	1.31830427235586e-09	digestive_filaments_3
epidermis_1	FoxQ2d	1.12353204185304	0.0548424737456243	0.0488125587011942	47	5457	0.227486069024726	0.227486069024726	epidermis_1
epidermis_2	FoxQ2d	1.38367599736425	0.0670940170940171	0.0484896877750456	157	5344	4.95645700643367e-05	4.95645700643367e-05	epidermis_2
precursors_PGC	FoxQ2d	0.827830293347535	0.0405405405405405	0.0489720427801753	30	5481	0.875978538059404	0.875978538059404	precursors_PGC
precursors_endoNPC	FoxQ2d	1.31414504311711	0.0641711229946524	0.0488310809607749	24	5485	0.107984201025576	0.107984201025576	precursors_endoNPC
precursors_NPC	FoxQ2d	1.72360029614892	0.083984375	0.0487261316835743	43	5466	0.000471515714686619	0.000471515714686619	precursors_NPC
NPC_1	FoxQ2d	1.07393654760872	0.0514251244156236	0.0478846953575884	682	4721	0.0397472190161296	0.0397472190161296	NPC_1
NPC_2	FoxQ2d	1.19178646319952	0.0579322638146168	0.0486096004640708	130	5363	0.026092545273779	0.026092545273779	NPC_2
neuron_GATA_Islet_1	FoxQ2d	0.674155641047085	0.0331818181818182	0.0492198183349483	73	5435	0.999890180883283	0.999890180883283	neuron_GATA_Islet_1
neuron_GATA_Islet_2	FoxQ2d	0.853880616724481	0.0418353576248313	0.0489943872778297	62	5447	0.910752514362306	0.910752514362306	neuron_GATA_Islet_2
neuron_Pou4_FoxL2_1	FoxQ2d	1.41115081842833	0.0683910565541429	0.0484647393184476	156	5346	2.01508429166746e-05	2.01508429166746e-05	neuron_Pou4_FoxL2_1
neuron_Pou4_FoxL2_2	FoxQ2d	1.64614663802414	0.0796974985456661	0.0484145802717347	137	5370	2.29133142984022e-08	2.29133142984022e-08	neuron_Pou4_FoxL2_2
neuron_Pou4_FoxL2_3	FoxQ2d	1.36885233209562	0.0665083135391924	0.0485869161923206	140	5369	0.000185454811441661	0.000185454811441661	neuron_Pou4_FoxL2_3
neuronal_gastrula	FoxQ2d	0.876687966550974	0.0429001950008864	0.0489343947193234	242	5219	0.98281758244367	0.98281758244367	neuronal_gastrula
gland	FoxQ2d	1.21940280845497	0.0595399188092016	0.0488271130723742	44	5466	0.106057660045844	0.106057660045844	gland
gland_mucin	FoxQ2d	0.880345908205032	0.0432936538024111	0.0491780030995817	571	4855	0.998726781929166	0.998726781929166	gland_mucin
