cell_type	motif	fc	f_fg	f_bg	n_fg	n_bg	pval	padj	label
cnidocyte	FoxQ2d	1.41279843306038	0.153522607781283	0.108665613005193	292	12032	2.04024148729555e-09	2.04024148729555e-09	cnidocyte
cnidocyte_gastrula	FoxQ2d	0.882560031433478	0.0970978599098241	0.110018419655958	1529	10572	0.999999552817586	0.999999552817586	cnidocyte_gastrula
ecto_pharynx	FoxQ2d	1.10972815535	0.117270238156739	0.105674743486844	2270	9743	1.47558111519328e-06	1.47558111519328e-06	ecto_pharynx
ectoderm	FoxQ2d	1.00374233507749	0.107226903514765	0.106827120633989	2825	9099	0.431073656653729	0.431073656653729	ectoderm
ecto_aboral	FoxQ2d	1.0103455969176	0.107787255788356	0.106683550774307	2742	9183	0.312006719927696	0.312006719927696	ecto_aboral
EMS	FoxQ2d	0.797619512185685	0.0893857015337174	0.112065590382534	2203	9732	1	1	EMS
EMS_ecto_boundary	FoxQ2d	1.11517361747638	0.11931055066408	0.106988318943626	1599	10533	1.11717513783259e-05	1.11717513783259e-05	EMS_ecto_boundary
gastro_circular_muscle_1	FoxQ2d	0.83181934543847	0.091324200913242	0.109788503253796	180	12147	0.99651347271796	0.99651347271796	gastro_circular_muscle_1
gastro_circular_muscle_2	FoxQ2d	0.860646176453377	0.0944881889763779	0.109787496373658	216	12110	0.991662860807251	0.991662860807251	gastro_circular_muscle_2
gastro_parietal_muscle	FoxQ2d	1.03281385449126	0.112991266375546	0.109401385239166	207	12115	0.323498289684816	0.323498289684816	gastro_parietal_muscle
gastro_IRF1_2	FoxQ2d	0.646372705580115	0.0708812260536399	0.109659992511634	37	12301	0.998908492874687	0.998908492874687	gastro_IRF1_2
gastro_somatic_gonad	FoxQ2d	1.20194011434037	0.131578947368421	0.109472132428688	15	12327	0.26430305874444	0.26430305874444	gastro_somatic_gonad
muscle_tentacle_retractor	FoxQ2d	1.38657342024332	0.151152860802733	0.109011797425201	177	12151	6.96823189211908e-06	6.96823189211908e-06	muscle_tentacle_retractor
muscle_mesentery_retractor	FoxQ2d	0.941313993402835	0.103064066852368	0.109489572634305	74	12259	0.7257199500715	0.7257199500715	muscle_mesentery_retractor
digestive_filaments_1	FoxQ2d	1.62936948335178	0.177622377622378	0.109012952210808	127	12204	3.38250850776621e-08	3.38250850776621e-08	digestive_filaments_1
digestive_filaments_2	FoxQ2d	2.02253954322493	0.220198675496689	0.108872370992353	133	12201	3.45892058554838e-15	3.45892058554838e-15	digestive_filaments_2
digestive_filaments_3	FoxQ2d	2.23584425017805	0.242758620689655	0.108575819031368	176	12153	2.13364721774447e-24	2.13364721774447e-24	digestive_filaments_3
epidermis_1	FoxQ2d	1.17425667507596	0.128354725787631	0.109307214097232	110	12220	0.0446734004370875	0.0446734004370875	epidermis_1
epidermis_2	FoxQ2d	1.32127261010955	0.143589743589744	0.108675335045232	336	11977	1.53032072982426e-07	1.53032072982426e-07	epidermis_2
precursors_PGC	FoxQ2d	0.776371666215225	0.0851351351351351	0.10965770498834	63	12273	0.987878872929042	0.987878872929042	precursors_PGC
precursors_endoNPC	FoxQ2d	1.00144866901631	0.109625668449198	0.10946708687214	41	12296	0.520609126663576	0.520609126663576	precursors_endoNPC
precursors_NPC	FoxQ2d	1.30436543029277	0.142578125	0.109308420545918	73	12262	0.0118085373952857	0.0118085373952857	precursors_NPC
NPC_1	FoxQ2d	0.99976514133037	0.108128487407631	0.108153888285949	1434	10663	0.508284134193552	0.508284134193552	NPC_1
NPC_2	FoxQ2d	0.986249804961773	0.107843137254902	0.109346675367994	242	12064	0.599533809093756	0.599533809093756	NPC_2
neuron_GATA_Islet_1	FoxQ2d	0.789615689886261	0.0868181818181818	0.109949919853654	191	12141	0.999828728259253	0.999828728259253	neuron_GATA_Islet_1
neuron_GATA_Islet_2	FoxQ2d	0.973373731610788	0.106612685560054	0.109529035043535	158	12177	0.65175586003756	0.65175586003756	neuron_GATA_Islet_2
neuron_Pou4_FoxL2_1	FoxQ2d	1.31419233855389	0.142919772029811	0.108751031212888	326	11996	3.71206837057734e-07	3.71206837057734e-07	neuron_Pou4_FoxL2_1
neuron_Pou4_FoxL2_2	FoxQ2d	1.65267656702212	0.179173938336242	0.108414399956724	308	12025	3.29556688943586e-18	3.29556688943586e-18	neuron_Pou4_FoxL2_2
neuron_Pou4_FoxL2_3	FoxQ2d	1.16666311458764	0.127315914489311	0.109128258961295	268	12059	0.00516709733260209	0.00516709733260209	neuron_Pou4_FoxL2_3
neuronal_gastrula	FoxQ2d	0.880513161728931	0.0964368019854636	0.10952340768661	544	11681	0.999166783058256	0.999166783058256	neuronal_gastrula
gland	FoxQ2d	1.22533094532098	0.133964817320704	0.109329498150894	99	12239	0.0210220429701138	0.0210220429701138	gland
gland_mucin	FoxQ2d	0.855771947488163	0.0943210250966715	0.110217477183635	1244	10881	0.999999990743715	0.999999990743715	gland_mucin
