cell_type	motif	fc	f_fg	f_bg	n_fg	n_bg	pval	padj	label
cnidocyte	Foxn3	0.923151069050123	0.0257623554153523	0.027906976744186	49	3090	0.732630941480651	0.994284849152313	cnidocyte
cnidocyte	FoxQ2d	1.47791411026567	0.0525762355415352	0.0355746218107925	100	3939	0.000120779496370483	0.00229481043103919	cnidocyte
cnidocyte	Lbx	1.04071574173613	0.0168243953732913	0.0161661774666968	32	1790	0.435650630210469	0.889778999367775	cnidocyte
cnidocyte	Nanog	0.804352840115577	0.0126182965299685	0.0156875141115376	24	1737	0.880165613846292	0.994601776851768	cnidocyte
cnidocyte	NOTO	0.922774532375873	0.0241850683491062	0.0262090765409799	46	2902	0.728052336520848	0.994284849152313	cnidocyte
cnidocyte	Nvec_vc1.1_XM_001630676.3	0.65085134314321	0.0141955835962145	0.0218107925039512	27	2415	0.993304846920159	0.994601776851768	cnidocyte
cnidocyte	Nvec_vc1.1_XM_001634198.3	1.00102939063005	0.0609884332281809	0.0609257168661097	116	6746	0.509304586819523	0.889778999367775	cnidocyte
cnidocyte	Nvec_vc1.1_XM_001641264.3	1.06074341303228	0.0310199789695058	0.0292436215850079	59	3238	0.342856754623703	0.889778999367775	cnidocyte
cnidocyte	Nvec_vc1.1_XM_032366665.2	0.810273531524351	0.0205047318611987	0.0253059381350192	39	2802	0.92254685104877	0.994601776851768	cnidocyte
cnidocyte	Nvec_vc1.1_XM_032367023.2	1.12105985591074	0.0294426919032597	0.0262632648453375	56	2908	0.213230713023898	0.889778999367775	cnidocyte
cnidocyte	Nvec_vc1.1_XM_032372904.2	1.00190812712855	0.0252365930599369	0.0251885301422443	48	2789	0.515135210160291	0.889778999367775	cnidocyte
cnidocyte	Nvec_vc1.1_XM_032379457.2	1.05220087374869	0.0273396424815983	0.0259832919394897	52	2877	0.375989251198953	0.889778999367775	cnidocyte
cnidocyte	Nvec_vc1.1_XM_032383663.2	0.920839702522361	0.0215562565720294	0.0234093474825017	41	2592	0.723032565015271	0.994284849152313	cnidocyte
cnidocyte	Nvec_vc1.1_XM_048727543.1	1.01145816839823	0.028391167192429	0.028069541657259	54	3108	0.48583587832202	0.889778999367775	cnidocyte
