cell_type	stage	gene	gene_name	common_name	og	pfam	expression_fc	expression_umifrac	gene_score	zscore	motif	id	target_self
EMS	gastrula	Nvec_vc1.1_XM_032362379.2	Nkx2-2/Nkx2-9	""	Homeodomains.HG1.19:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2	Homeodomain	1.84703001747535	0.0786572116134725	1.77578025836361	15.0348111537202	ARCH1546_Meis3/Meis2/Meis1_...	Nvec_vc1.1_XM_032362379.2__ARCH1546_Meis3/Meis2/Meis1_...	FALSE
EMS	gastrula	Nvec_vc1.1_XM_032362607.2	""	""	Forkhead.HG1.5:FOXQ1	Forkhead	1.08126452402058	0.00555379326663271	1.87703150442056	7.29216158156482	ARCH895_Foxn4/Foxn1	Nvec_vc1.1_XM_032362607.2__ARCH895_Foxn4/Foxn1	TRUE
EMS	gastrula	Nvec_vc1.1_XM_001623084.3	Six4/Six5	Six4/5	Homeodomains.HG3.24:SIX4/SIX5	SIX1_SD/Homeodomain	7.24462141672929	0.771589790113111	1.71677992796766	16.516187460924	ARCH1503_Meis3/Meis2/Meis1_...	Nvec_vc1.1_XM_001623084.3__ARCH1503_Meis3/Meis2/Meis1_...	FALSE
EMS	gastrula	Nvec_vc1.1_XM_032364561.2	Hnf1a/Hnf1b	""	Homeodomains.HG2.0:HNF1A/HNF1B	HNF-1_N/Homeodomain	1.90393003582914	0.065353939370143	1.41273467487596	8.00716428140625	ARCH1503_Meis3/Meis2/Meis1_...	Nvec_vc1.1_XM_032364561.2__ARCH1503_Meis3/Meis2/Meis1_...	FALSE
EMS	gastrula	Nvec_vc1.1_XM_001634956.3	Gsc2/Gsc//Obox1/Obox7/Obox2	""	Homeodomains.HG2.43:GSC/GSC2	Homeodomain	1.86542556201685	0.0670329931484273	2.12369416267596	24.4213800388994	ARCH1633_M02161_2.00	Nvec_vc1.1_XM_001634956.3__ARCH1633_M02161_2.00	TRUE
EMS	gastrula	Nvec_vc1.1_XM_032379688.2	""	NVHD033-ANTP	Homeodomains.HG1.39:BARHL1/BARHL2	Homeodomain	1.73597721032441	0.0560545645981069	5.71437803110693	12.9585037799016	ARCH1362_Six1/_Six4/Six5	Nvec_vc1.1_XM_032379688.2__ARCH1362_Six1/_Six4/Six5	TRUE
EMS	gastrula	Nvec_vc1.1_XM_032379723.2	Alx3/Alx4/Alx1	""	Homeodomains.HG2.66:ALX1/ALX3/ALX4	Homeodomain/OAR	1.0814520599984	0.00542463528368776	4.61152263885702	11.7219631083164	ARCH1362_Six1/_Six4/Six5	Nvec_vc1.1_XM_032379723.2__ARCH1362_Six1/_Six4/Six5	FALSE
EMS	gastrula	Nvec_vc1.1_XM_032377358.2	""	VAx-EMX-Like	Homeodomains.HG1.42:VAX1/VAX2	Homeodomain	1.07591389387165	0.00477884536896303	2.38402025591018	4.49753553705014	ARCH1552_Pbx4/Pbx2/Pbx1	Nvec_vc1.1_XM_032377358.2__ARCH1552_Pbx4/Pbx2/Pbx1	TRUE
EMS	gastrula	Nvec_vc1.1_XM_032380975.2	Erg/Fli1/Fev	""	Ets.HG1.5:ERF/ERFL/ERG/ETV3/ETV3L/FEV/FLI1	SAM_PNT/Ets	1.57582819483537	1.257482121952	1.32730689981135	12.4593532251931	ARCH584_Elf3/Ehf/Elf5_Erg/F...	Nvec_vc1.1_XM_032380975.2__ARCH584_Elf3/Ehf/Elf5_Erg/F...	TRUE
EMS	gastrula	Nvec_vc1.1_XM_048732095.1	""	""	Myb.HG3.0:like:HSPA14/MSANTD1/MSANTD2/UTF1/ZKSCAN2/ZSCAN20/ZSCAN29/ZSCAN32	Myb_DNA-bind_4	1.07085518115903	0.00632874116430239	1.00007723183477	9.93426118968904	ARCH374_M03912_2.00__ZC3H10	Nvec_vc1.1_XM_048732095.1__ARCH374_M03912_2.00__ZC3H10	FALSE
EMS	gastrula	Nvec_vc1.1_XM_032364121.2	""	""	Homeodomains.HG1.39:BARHL1/BARHL2	Homeodomain	1.26640482717257	0.0185987495440723	1.17058070327337	7.70256229102771	ARCH1362_Six1/_Six4/Six5	Nvec_vc1.1_XM_032364121.2__ARCH1362_Six1/_Six4/Six5	FALSE
EMS	gastrula	Nvec_vc1.1_XM_001635960.3	""	""	zf-C4_Nuclear_receptors.HG1.25:like:NR2F1/NR2F2/NR2F6	zf-C4/Hormone_recep	1.00528704656816	0.00284147562478883	1.27772393847137	7.08760064664614	ARCH1560_Hnf4g/Hnf4a_Nr2c1/...	Nvec_vc1.1_XM_001635960.3__ARCH1560_Hnf4g/Hnf4a_Nr2c1/...	FALSE
EMS	gastrula	Nvec_vc1.1_XM_032374843.2	Tbx10/Tbx1	Tbx1/10-1	T-box.HG1.13:TBX1/TBX10/TBX15/TBX18/TBX20/TBX22	T-box	1.43076182544048	0.0285439142308332	4.83368267815592	5.68837025270847	ARCH862_Tbx18/Tbx22/Tbx15_T...	Nvec_vc1.1_XM_032374843.2__ARCH862_Tbx18/Tbx22/Tbx15_T...	TRUE
EMS	gastrula	Nvec_vc1.1_XM_032377450.2	""	Tbx20-1	T-box.HG1.13:TBX1/TBX10/TBX15/TBX18/TBX20/TBX22	T-box	1.00632038605153	0.00038747394883484	2.15563127455382	4.97071684969685	ARCH862_Tbx18/Tbx22/Tbx15_T...	Nvec_vc1.1_XM_032377450.2__ARCH862_Tbx18/Tbx22/Tbx15_T...	TRUE
EMS	gastrula	Nvec_vc1.1_XM_032380148.2	""	""	T-box.HG1.2:like:MGA/TBX1/TBX2/TBX3/TBX4/TBX5/TBX6/TBX10/TBX15/TBX18/TBX20/TBX22	T-box	1.16189574248543	0.016919695765788	0.890082610874352	10.6942590746501	ARCH485_Tbx3/Tbx2	Nvec_vc1.1_XM_032380148.2__ARCH485_Tbx3/Tbx2	FALSE
EMS	gastrula	Nvec_vc1.1_XM_001627136.3	Tbx10/Tbx1	Tbx1/10-2	T-box.HG1.13:TBX1/TBX10/TBX15/TBX18/TBX20/TBX22	T-box	1.20900632565766	0.0135615882092194	4.34657965957406	5.9474740086598	ARCH862_Tbx18/Tbx22/Tbx15_T...	Nvec_vc1.1_XM_001627136.3__ARCH862_Tbx18/Tbx22/Tbx15_T...	TRUE
EMS	gastrula	Nvec_vc1.1_XM_001633902.3	Tbx5/Tbx4	""	T-box.HG1.12:TBX4/TBX5	T-box	1.28566774743602	0.100226594765279	0.939618265928178	14.0737121414511	ARCH837_Tbx10/Tbx1_Tbx18/Tb...	Nvec_vc1.1_XM_001633902.3__ARCH837_Tbx10/Tbx1_Tbx18/Tb...	FALSE
EMS	gastrula	Nvec_vc1.1_XM_048727403.1	""	""	HMGbox_Sox.HG1.52:like:LEF1/TCF7/TCF7L1/TCF7L2	HMG_box_2	1.01939990230357	0.00142073781239441	0.944132568193217	6.47852172178693	ARCH1164_/Sox4/Sox11_Sox13/...	Nvec_vc1.1_XM_048727403.1__ARCH1164_/Sox4/Sox11_Sox13/...	FALSE
EMS	gastrula	Nvec_vc1.1_XM_032381908.2	""	Hand2	HLH.HG1.66:like:HAND1/HAND2	HLH	5.15534004488138	0.412401439543215	5.06011286341874	10.1186298357586	ARCH779_Twist2/Twist1	Nvec_vc1.1_XM_032381908.2__ARCH779_Twist2/Twist1	FALSE
EMS	gastrula	Nvec_vc1.1_XM_048734691.1	""	""	zf-C2H2.HG70.1:NA	zf-C2H2/zf-met/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2	1.04893885268041	0.00594126721546755	0.959003241600537	9.58467101299416	ARCH836_M08316_2.00__M08901...	Nvec_vc1.1_XM_048734691.1__ARCH836_M08316_2.00__M08901...	TRUE
EMS	gastrula	Nvec_vc1.1_XM_001625754.3	""	""	Homeodomains.HG2.6:like:AC025287.4/ALX1/ALX3/ALX4/ARGFX/ARX/CPHXL/CRX/DMBX1/DPRX/DRGX/DUX4/DUXA/DUXB/ESX1/GSC/GSC2/HESX1/HOMEZ/ISL1/ISL2/ISX/LEUTX/LHX1/LHX2/LHX3/LHX4/LHX5/LHX6/LHX8/LHX9/LMX1A/LMX1B/MIXL1/NOBOX/OTP/OTX1/OTX2/PAX1/PAX2/PAX3/PAX4/PAX5/PAX6/PAX7/PAX8/PAX9/PHOX2A/PHOX2B/PITX1/PITX2/PITX3/PROP1/PRRX1/PRRX2/RAX/RAX2/RHOXF1/RHOXF2/RHOXF2B/SEBOX/SHOX/SHOX2/TPRX1/UNCX/VSX1/VSX2/ZFHX2/ZFHX3/ZFHX4	Homeodomain	1.03554901089576	0.00232484369300904	0.979984781342039	8.08084276364151	ARCH273_HOXD3	Nvec_vc1.1_XM_001625754.3__ARCH273_HOXD3	FALSE
EMS	gastrula	Nvec_vc1.1_XM_001633541.3	""	""	Homeodomains.HG3.5:like:IRX1/IRX2/IRX3/IRX4/IRX5/IRX6/MKX/ONECUT1/ONECUT2/ONECUT3	SIX1_SD/Homeobox_KN	1.06344800691805	0.00452052940307313	1.04399002231122	8.17125492021278	ARCH273_HOXD3	Nvec_vc1.1_XM_001633541.3__ARCH273_HOXD3	FALSE
EMS	gastrula	Nvec_vc1.1_XM_001634768.3	""	""	Homeodomains.HG2.11:DUX4/DUXA/DUXB	Homeodomain	4.21295086446713	0.269940184354939	1.75128822911704	13.2000023042919	ARCH273_HOXD3	Nvec_vc1.1_XM_001634768.3__ARCH273_HOXD3	FALSE
EMS	gastrula	Nvec_vc1.1_XM_032378769.2	""	""	Homeodomains.HG1.23:like:HHEX/LBX1/LBX2/NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2/VENTX	Homeodomain	1.00754615087705	0.000645789914724733	1.01261474380902	8.06815408183083	ARCH273_HOXD3	Nvec_vc1.1_XM_032378769.2__ARCH273_HOXD3	FALSE
EMS	gastrula	Nvec_vc1.1_XM_048724756.1	""	""	Homeodomains.HG1.23:like:HHEX/LBX1/LBX2/NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2/VENTX	Homeodomain	1.01677474575255	0.00464968738601808	1.0223070646407	8.03911482285662	ARCH273_HOXD3	Nvec_vc1.1_XM_048724756.1__ARCH273_HOXD3	FALSE
EMS	gastrula	Nvec_vc1.1_XM_032387186.2	Snai2	SnailA	zf-C2H2.HG7.5:SNAI1/SNAI2/SNAI3	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2	4.59310539241125	0.400389747129335	4.02583572226555	10.0767596976594	ARCH866_ZNF317	Nvec_vc1.1_XM_032387186.2__ARCH866_ZNF317	FALSE
EMS	gastrula	Nvec_vc1.1_XM_032373618.2	Nkx2-2/Nkx2-9	Nkx-2.2a	Homeodomains.HG1.19:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2	Homeodomain	3.22634201844694	0.186374969389558	1.48691211016726	4.94538459418721	ARCH1502_Meis3/Meis2/Meis1_...	Nvec_vc1.1_XM_032373618.2__ARCH1502_Meis3/Meis2/Meis1_...	FALSE
EMS	gastrula	Nvec_vc1.1_XM_032381099.2	""	""	Homeodomains.HG1.27:like:AC004080.3/AC012531.3/BARHL1/BARHL2/CDX1/CDX2/CDX4/DLX1/DLX2/DLX3/DLX4/DLX5/DLX6/EMX1/EMX2/EN1/EN2/EVX1/EVX2/GBX1/GBX2/GSX1/GSX2/HMX1/HMX2/HMX3/HOXA1/HOXA2/HOXA3/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/HOXA10/HOXA11/HOXA13/HOXB1/HOXB2/HOXB3/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/HOXB13/HOXC4/HOXC5/HOXC6/HOXC8/HOXC9/HOXC10/HOXC12/HOXC13/HOXD1/HOXD3/HOXD4/HOXD8/HOXD9/HOXD10/HOXD11/HOXD12/HOXD13/MEOX1/MEOX2/MNX1/MSX1/MSX2/NKX1-1/NKX1-2/NKX6-1/NKX6-2/NKX6-3/NOTO/PDX1/TLX1/TLX2/TLX3/VAX1/VAX2	Homeodomain	1.14319004559525	0.0286730722137782	0.900245368490705	4.85509583191543	ARCH273_HOXD3	Nvec_vc1.1_XM_032381099.2__ARCH273_HOXD3	FALSE
EMS_ecto_boundary	gastrula	Nvec_vc1.1_XM_001634505.3	Foxa3/Foxa1/Foxa2	FoxA	Forkhead.HG1.1:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3	Forkhead_N/Forkhead/HNF_C	1.12909831551449	0.0525672990585933	2.28672377035361	13.7761905153088	ARCH1291_Fox:Ebox	Nvec_vc1.1_XM_001634505.3__ARCH1291_Fox:Ebox	TRUE
EMS_ecto_boundary	gastrula	Nvec_vc1.1_XM_032383693.2	""	""	Homeodomains.HG1.53:MNX1	Homeodomain	1.48535407213995	0.0347434974121907	1.16942140245229	9.85611718399975	ARCH1546_Meis3/Meis2/Meis1_...	Nvec_vc1.1_XM_032383693.2__ARCH1546_Meis3/Meis2/Meis1_...	TRUE
EMS_ecto_boundary	gastrula	Nvec_vc1.1_XM_032362379.2	Nkx2-2/Nkx2-9	""	Homeodomains.HG1.19:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2	Homeodomain	1.84703001747535	0.0786572116134725	1.80364727636075	8.20612510716904	ARCH1546_Meis3/Meis2/Meis1_...	Nvec_vc1.1_XM_032362379.2__ARCH1546_Meis3/Meis2/Meis1_...	FALSE
EMS_ecto_boundary	gastrula	Nvec_vc1.1_XM_001623084.3	Six4/Six5	Six4/5	Homeodomains.HG3.24:SIX4/SIX5	SIX1_SD/Homeodomain	7.24462141672929	0.771589790113111	3.02672217420168	20.5137847253303	ARCH1503_Meis3/Meis2/Meis1_...	Nvec_vc1.1_XM_001623084.3__ARCH1503_Meis3/Meis2/Meis1_...	FALSE
EMS_ecto_boundary	gastrula	Nvec_vc1.1_XM_032364561.2	Hnf1a/Hnf1b	""	Homeodomains.HG2.0:HNF1A/HNF1B	HNF-1_N/Homeodomain	1.90393003582914	0.065353939370143	1.37428033857131	5.25033970951387	ARCH1503_Meis3/Meis2/Meis1_...	Nvec_vc1.1_XM_032364561.2__ARCH1503_Meis3/Meis2/Meis1_...	FALSE
EMS_ecto_boundary	gastrula	Nvec_vc1.1_XM_001634956.3	Gsc2/Gsc//Obox1/Obox7/Obox2	""	Homeodomains.HG2.43:GSC/GSC2	Homeodomain	1.86542556201685	0.0670329931484273	2.29253639206492	23.1882380980557	ARCH1633_M02161_2.00	Nvec_vc1.1_XM_001634956.3__ARCH1633_M02161_2.00	TRUE
EMS_ecto_boundary	gastrula	Nvec_vc1.1_XM_048732095.1	""	""	Myb.HG3.0:like:HSPA14/MSANTD1/MSANTD2/UTF1/ZKSCAN2/ZSCAN20/ZSCAN29/ZSCAN32	Myb_DNA-bind_4	1.07085518115903	0.00632874116430239	1.00128460334893	13.7590009082541	ARCH374_M03912_2.00__ZC3H10	Nvec_vc1.1_XM_048732095.1__ARCH374_M03912_2.00__ZC3H10	FALSE
EMS_ecto_boundary	gastrula	Nvec_vc1.1_XM_001635960.3	""	""	zf-C4_Nuclear_receptors.HG1.25:like:NR2F1/NR2F2/NR2F6	zf-C4/Hormone_recep	1.00528704656816	0.00284147562478883	0.907298098517764	8.58266827572814	ARCH1560_Hnf4g/Hnf4a_Nr2c1/...	Nvec_vc1.1_XM_001635960.3__ARCH1560_Hnf4g/Hnf4a_Nr2c1/...	FALSE
EMS_ecto_boundary	gastrula	Nvec_vc1.1_XM_032380148.2	""	""	T-box.HG1.2:like:MGA/TBX1/TBX2/TBX3/TBX4/TBX5/TBX6/TBX10/TBX15/TBX18/TBX20/TBX22	T-box	1.16189574248543	0.016919695765788	0.978797215242663	12.8330117995986	ARCH485_Tbx3/Tbx2	Nvec_vc1.1_XM_032380148.2__ARCH485_Tbx3/Tbx2	FALSE
EMS_ecto_boundary	gastrula	Nvec_vc1.1_XM_001633902.3	Tbx5/Tbx4	""	T-box.HG1.12:TBX4/TBX5	T-box	1.28566774743602	0.100226594765279	1.20574801163744	10.826660365267	ARCH837_Tbx10/Tbx1_Tbx18/Tb...	Nvec_vc1.1_XM_001633902.3__ARCH837_Tbx10/Tbx1_Tbx18/Tb...	FALSE
EMS_ecto_boundary	gastrula	Nvec_vc1.1_XM_048727403.1	""	""	HMGbox_Sox.HG1.52:like:LEF1/TCF7/TCF7L1/TCF7L2	HMG_box_2	1.01939990230357	0.00142073781239441	0.954091622602601	11.4665134985793	ARCH1164_/Sox4/Sox11_Sox13/...	Nvec_vc1.1_XM_048727403.1__ARCH1164_/Sox4/Sox11_Sox13/...	FALSE
EMS_ecto_boundary	gastrula	Nvec_vc1.1_XM_048734691.1	""	""	zf-C2H2.HG70.1:NA	zf-C2H2/zf-met/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2	1.04893885268041	0.00594126721546755	1.12170863143959	14.2375777987027	ARCH836_M08316_2.00__M08901...	Nvec_vc1.1_XM_048734691.1__ARCH836_M08316_2.00__M08901...	TRUE
EMS_ecto_boundary	gastrula	Nvec_vc1.1_XM_001635374.3	Pbx4/Pbx2/Pbx1	""	Homeodomains.HG3.7:PBX1/PBX2/PBX3/PBX4	PBC/Homeodomain	1.16765404818731	0.24230037600472	0.902766495830061	4.14233218431029	ARCH121_Nfya_Pbx4/Pbx2/Pbx1	Nvec_vc1.1_XM_001635374.3__ARCH121_Nfya_Pbx4/Pbx2/Pbx1	FALSE
EMS_ecto_boundary	gastrula	Nvec_vc1.1_XM_032379775.2	Tfap4	""	HLH.HG1.16:TFAP4	HLH	1.34809677984373	0.0523089830927034	1.28684752269542	4.35626558750057	ARCH745_Tfap4	Nvec_vc1.1_XM_032379775.2__ARCH745_Tfap4	FALSE
EMS_ecto_boundary	gastrula	Nvec_vc1.1_XM_001625754.3	""	""	Homeodomains.HG2.6:like:AC025287.4/ALX1/ALX3/ALX4/ARGFX/ARX/CPHXL/CRX/DMBX1/DPRX/DRGX/DUX4/DUXA/DUXB/ESX1/GSC/GSC2/HESX1/HOMEZ/ISL1/ISL2/ISX/LEUTX/LHX1/LHX2/LHX3/LHX4/LHX5/LHX6/LHX8/LHX9/LMX1A/LMX1B/MIXL1/NOBOX/OTP/OTX1/OTX2/PAX1/PAX2/PAX3/PAX4/PAX5/PAX6/PAX7/PAX8/PAX9/PHOX2A/PHOX2B/PITX1/PITX2/PITX3/PROP1/PRRX1/PRRX2/RAX/RAX2/RHOXF1/RHOXF2/RHOXF2B/SEBOX/SHOX/SHOX2/TPRX1/UNCX/VSX1/VSX2/ZFHX2/ZFHX3/ZFHX4	Homeodomain	1.03554901089576	0.00232484369300904	0.999899818649903	8.67084139757606	ARCH273_HOXD3	Nvec_vc1.1_XM_001625754.3__ARCH273_HOXD3	FALSE
EMS_ecto_boundary	gastrula	Nvec_vc1.1_XM_001633541.3	""	""	Homeodomains.HG3.5:like:IRX1/IRX2/IRX3/IRX4/IRX5/IRX6/MKX/ONECUT1/ONECUT2/ONECUT3	SIX1_SD/Homeobox_KN	1.06344800691805	0.00452052940307313	1.02889888363765	8.78374451388975	ARCH273_HOXD3	Nvec_vc1.1_XM_001633541.3__ARCH273_HOXD3	FALSE
EMS_ecto_boundary	gastrula	Nvec_vc1.1_XM_001634768.3	""	""	Homeodomains.HG2.11:DUX4/DUXA/DUXB	Homeodomain	4.21295086446713	0.269940184354939	1.31658732623085	11.9808909876672	ARCH273_HOXD3	Nvec_vc1.1_XM_001634768.3__ARCH273_HOXD3	FALSE
EMS_ecto_boundary	gastrula	Nvec_vc1.1_XM_032378769.2	""	""	Homeodomains.HG1.23:like:HHEX/LBX1/LBX2/NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8/NKX3-1/NKX3-2/VENTX	Homeodomain	1.00754615087705	0.000645789914724733	0.984096670068752	8.64123517013444	ARCH273_HOXD3	Nvec_vc1.1_XM_032378769.2__ARCH273_HOXD3	FALSE
