NC_064034.1	10158903	10159153	peak3696	.	*
NC_064037.1	8515022	8515272	peak26307	.	*
NC_064036.1	17454648	17454898	peak22451	.	*
NC_064045.1	2919282	2919532	peak69844	.	*
NC_064046.1	10599833	10600083	peak77511	.	*
NC_064045.1	12474388	12474638	peak73064	.	*
NC_064040.1	11175000	11175250	peak45624	.	*
NC_064039.1	3393503	3393753	peak36243	.	*
NC_064039.1	2555381	2555631	peak35902	.	*
NC_064048.1	9114137	9114387	peak86840	.	*
NC_064046.1	4430131	4430381	peak75736	.	*
NC_064036.1	4828007	4828257	peak17402	.	*
NC_064046.1	6221159	6221409	peak76223	.	*
NC_064039.1	3610612	3610862	peak36348	.	*
NC_064043.1	13668849	13669099	peak63788	.	*
NC_064046.1	12086070	12086320	peak78129	.	*
NC_064046.1	11025677	11025927	peak77654	.	*
NC_064044.1	6788616	6788866	peak66283	.	*
NC_064038.1	8688571	8688821	peak32128	.	*
NC_064046.1	13354599	13354849	peak78683	.	*
NC_064037.1	8513857	8514107	peak26305	.	*
NC_064035.1	4399520	4399770	peak9179	.	*
NC_064041.1	6804689	6804939	peak49889	.	*
NC_064040.1	10872588	10872838	peak45488	.	*
NC_064046.1	4429967	4430216	peak75735	.	*
NC_064042.1	15205955	15206205	peak58130	.	*
NC_064039.1	2847439	2847689	peak36041	.	*
NC_064035.1	7889044	7889294	peak10511	.	*
NC_064041.1	16122203	16122453	peak52550	.	*
NC_064040.1	13220740	13220990	peak46371	.	*
NC_064039.1	8138001	8138251	peak38366	.	*
NC_064045.1	9496241	9496491	peak72066	.	*
NC_064045.1	14612282	14612532	peak73718	.	*
NC_064039.1	14404191	14404441	peak41021	.	*
NC_064037.1	15888889	15889139	peak28839	.	*
NC_064040.1	12074310	12074560	peak45979	.	*
NC_064035.1	16737467	16737717	peak13888	.	*
NC_064035.1	14755670	14755920	peak13116	.	*
NC_064044.1	12589580	12589830	peak68343	.	*
NC_064043.1	14763494	14763744	peak64278	.	*
NC_064036.1	7319304	7319554	peak18475	.	*
NC_064036.1	13743137	13743387	peak21104	.	*
NC_064034.1	10159592	10159842	peak3697	.	*
NC_064043.1	6182892	6183142	peak60790	.	*
NC_064037.1	8679724	8679974	peak26375	.	*
NC_064042.1	4790502	4790752	peak54478	.	*
NC_064036.1	13451002	13451252	peak20954	.	*
NC_064034.1	13180154	13180404	peak4871	.	*
NC_064041.1	10851810	10852060	peak51008	.	*
NC_064039.1	1957755	1958005	peak35683	.	*
NC_064037.1	15888373	15888623	peak28838	.	*
NC_064036.1	7274603	7274853	peak18436	.	*
NC_064037.1	15894316	15894566	peak28849	.	*
NC_064047.1	9101432	9101682	peak82019	.	*
NC_064037.1	7684913	7685163	peak26039	.	*
NC_064040.1	5956929	5957179	peak43578	.	*
NC_064042.1	15205091	15205341	peak58128	.	*
NC_064040.1	6863688	6863938	peak43960	.	*
NC_064036.1	9906280	9906530	peak19447	.	*
NC_064047.1	2780936	2781186	peak80070	.	*
NC_064034.1	2403086	2403336	peak665	.	*
NC_064038.1	13310064	13310314	peak33728	.	*
NC_064044.1	10969928	10970178	peak67730	.	*
NC_064044.1	11433938	11434188	peak67870	.	*
NC_064039.1	12926630	12926880	peak40501	.	*
NC_064048.1	2338741	2338991	peak84350	.	*
NC_064039.1	10307316	10307566	peak39325	.	*
NC_064046.1	11026089	11026339	peak77655	.	*
NC_064044.1	7908072	7908322	peak66709	.	*
NC_064045.1	11885024	11885274	peak72836	.	*
NC_064037.1	1043520	1043770	peak23423	.	*
NC_064040.1	11174628	11174878	peak45623	.	*
NC_064040.1	11167649	11167899	peak45613	.	*
NC_064034.1	20655377	20655627	peak7226	.	*
NC_064042.1	670452	670702	peak53021	.	*
NC_064036.1	10410544	10410794	peak19686	.	*
NC_064036.1	9907888	9908138	peak19450	.	*
NC_064036.1	7276059	7276309	peak18439	.	*
NC_064035.1	2844073	2844323	peak8557	.	*
NC_064039.1	3859831	3860081	peak36537	.	*
NC_064037.1	1776313	1776563	peak23737	.	*
NC_064040.1	5958797	5959047	peak43580	.	*
NC_064043.1	1434652	1434902	peak58704	.	*
NC_064038.1	7526789	7527039	peak31773	.	*
NC_064045.1	2237204	2237454	peak69739	.	*
NC_064042.1	10363947	10364197	peak56493	.	*
NC_064045.1	12704394	12704644	peak73162	.	*
NC_064034.1	10142586	10142836	peak3683	.	*
NC_064038.1	8690546	8690796	peak32131	.	*
NC_064043.1	6751293	6751543	peak61094	.	*
NC_064045.1	11047805	11048055	peak72589	.	*
NC_064041.1	16470041	16470291	peak52708	.	*
NC_064039.1	3391773	3392023	peak36240	.	*
NC_064035.1	5660010	5660260	peak9734	.	*
NC_064042.1	11379899	11380149	peak56826	.	*
NC_064036.1	11447718	11447968	peak20163	.	*
NC_064041.1	13549507	13549757	peak51771	.	*
NC_064035.1	20445693	20445943	peak15382	.	*
NC_064040.1	11178909	11179159	peak45632	.	*
NC_064034.1	5010237	5010487	peak1700	.	*
NC_064036.1	11058676	11058926	peak19981	.	*
NC_064043.1	13108461	13108711	peak63595	.	*
NC_064035.1	20491721	20491971	peak15391	.	*
NC_064036.1	6916313	6916563	peak18246	.	*
NC_064046.1	287092	287342	peak74116	.	*
NC_064034.1	6327343	6327593	peak2157	.	*
NC_064034.1	5428853	5429103	peak1868	.	*
NC_064034.1	2363467	2363717	peak642	.	*
NC_064036.1	12377394	12377644	peak20544	.	*
NC_064047.1	8668594	8668844	peak81835	.	*
NC_064043.1	9378225	9378475	peak62132	.	*
NC_064047.1	4316577	4316827	peak80559	.	*
NC_064037.1	8077050	8077300	peak26160	.	*
NC_064039.1	13732387	13732637	peak40768	.	*
NC_064036.1	850760	851010	peak15934	.	*
NC_064046.1	13360089	13360339	peak78689	.	*
NC_064034.1	2696183	2696433	peak790	.	*
NC_064034.1	12394911	12395161	peak4499	.	*
NC_064044.1	8421708	8421958	peak66926	.	*
NC_064046.1	4446072	4446322	peak75749	.	*
NC_064035.1	7892495	7892745	peak10518	.	*
NC_064046.1	13925783	13926033	peak78910	.	*
NC_064034.1	6548143	6548393	peak2237	.	*
NC_064038.1	7065120	7065370	peak31641	.	*
NC_064043.1	11207965	11208215	peak62862	.	*
NC_064035.1	14750692	14750942	peak13108	.	*
NC_064044.1	9698880	9699130	peak67380	.	*
NC_064037.1	8824993	8825243	peak26425	.	*
NC_064034.1	11766284	11766534	peak4297	.	*
NC_064036.1	4325390	4325640	peak17232	.	*
NC_064042.1	10954367	10954617	peak56686	.	*
NC_064047.1	10449362	10449612	peak82518	.	*
NC_064043.1	10752877	10753127	peak62646	.	*
NC_064035.1	16721180	16721430	peak13882	.	*
NC_064044.1	7908232	7908481	peak66710	.	*
NC_064040.1	13815748	13815998	peak46550	.	*
NC_064045.1	12299308	12299558	peak72978	.	*
NC_064037.1	17102025	17102275	peak29222	.	*
NC_064045.1	1786274	1786524	peak69605	.	*
NC_064042.1	12726870	12727120	peak57245	.	*
NC_064043.1	4675646	4675896	peak60073	.	*
NC_064037.1	4294888	4295138	peak24679	.	*
NC_064038.1	7072904	7073154	peak31657	.	*
NC_064048.1	1450260	1450510	peak84005	.	*
NC_064034.1	7918094	7918344	peak2756	.	*
NC_064047.1	9838902	9839152	peak82263	.	*
NC_064035.1	8807566	8807816	peak10854	.	*
NC_064037.1	6617178	6617428	peak25620	.	*
NC_064039.1	12191460	12191710	peak40191	.	*
NC_064042.1	11304120	11304370	peak56799	.	*
NC_064042.1	15207408	15207658	peak58132	.	*
NC_064048.1	5797892	5798142	peak85626	.	*
NC_064036.1	11454036	11454286	peak20171	.	*
NC_064044.1	15685091	15685341	peak69170	.	*
NC_064039.1	13484265	13484515	peak40696	.	*
NC_064036.1	9907135	9907385	peak19449	.	*
NC_064046.1	13926162	13926412	peak78911	.	*
NC_064036.1	12377832	12378082	peak20546	.	*
NC_064037.1	8682822	8683072	peak26380	.	*
NC_064044.1	15684052	15684302	peak69167	.	*
NC_064036.1	17750850	17751100	peak22558	.	*
