cell_type	thr_exp_umifrac	thr_exp_fc	thr_gene_score	thr_accessibility
EMS	0.0165322218169532	1.03627327419382	1.0005832292914	0.160542781952207
EMS_ecto_boundary	0.0165322218169532	1.03627327419382	1.0228861414973	0.16651075268746
NPC_1	0.0180250139915477	1.01178296185248	1.01195487434056	0.156343783647342
NPC_2	0.0129103799803972	1	1.01722722977702	0.448627266141494
cnidocyte	0.013153913947095	1	1.00977367763005	0.13861709400136
cnidocyte_gastrula	0.0129103799803972	1	1.00925593346461	0.149282458079797
digestive_filaments_1	0.018350246143529	1.01232800814074	1.01738976416711	0.116137822485765
digestive_filaments_2	0.018350246143529	1.01232800814074	1.01211804114834	0.0728893104769041
digestive_filaments_3	0.018350246143529	1.01232800814074	1.0253984457919	0.0760733074813499
ecto_aboral	0.0143564525101815	1.0775255233094	1.00193176041665	0.12562114109371
ecto_pharynx	0.0200158359054982	0.989364096346118	1.01657852152492	0.140196783832444
ectoderm	0.014930978005005	1.30997219080814	1.0031196636997	0.114587389974107
epidermis_1	0.0172628631871012	1.01847529885342	1.02177718881589	0.0911867173002502
epidermis_2	0.0172628631871012	1.01847529885342	1.00523869704793	0.0804325857550325
gastro_IRF1_2	0.0330360092500826	1.07510986760438	1.0305320029263	0.174888133529734
gastro_circular_muscle_1	0.0118379904254687	1.07470392284656	1.00198344338043	0.102989784702839
gastro_circular_muscle_2	0.0118379904254687	1.07470392284656	1.00041660414732	0.124317829069843
gastro_parietal_muscle	0.0118379904254687	1.07470392284656	0.999007363530527	0.101183781647937
gastro_somatic_gonad	0.0372300819061802	1	1.03889990353003	0.147492082817803
gland	0.0152323557392055	1.07071442374942	1.01216492624481	0.103506149424837
gland_mucin	0.0165634344044617	0.99942282520313	1.01771453634497	0.173968791288952
muscle_mesentery_retractor	0.0156180315380117	1.07575380997137	1.00550521799199	0.213069823716581
muscle_tentacle_retractor	0.0156180315380117	1.07575380997137	1.01091541874771	0.146642716624657
neuron_GATA_Islet_1	0.0212551709845661	1.10951097674096	1.00574802853795	0.104272217543216
neuron_GATA_Islet_2	0.024672646846307	1.08615309998099	1.00468648557406	0.153129923118214
neuron_Pou4_FoxL2_1	0.0245478089034903	1	1.0064758005131	0.0920028161190539
neuron_Pou4_FoxL2_2	0.0245478089034903	1	1.00272497199922	0.0920104667885681
neuron_Pou4_FoxL2_3	0.0259761625415077	1.04668783970314	1.00603397746175	0.0978161147512711
neuronal_gastrula	0.0185919394646451	0.999258867371014	1.03279950093711	0.233810742773957
precursors_NPC	0.0173823360700856	1.086971390824	1.02091246616137	0.196416676094163
precursors_PGC	0.0173823360700856	1.086971390824	1.08493611489262	0.0956765862424409
precursors_endoNPC	0.0173823360700856	1.086971390824	1.04213980298512	0.146914972028772
