gene	degree_all	degree_in	degree_out	clustering_coefficient	degree_centrality_all	degree_centrality_in	degree_centrality_out	betweenness_centrality	closeness_centrality	eigenvector_centrality	page_rank	assortative_coefficient	average_path_length	community_random_walk	module	connectivity	participation	role	cell_type
Nvec_vc1.1_XM_032382493.2	122	3	119	0.0109741227475952	0.0626283367556468	0.00154004106776181	0.061088295687885	2133.58333333333	0.00111191416022683	0.145945253258307	0.000511837423311311	-0.131773299209966	0.48536150552176	8	3	5.18022202505143	0.501074979844129	Connector Hub	cnidocyte
Nvec_vc1.1_XM_032387167.2	410	21	389	0.0120221833476011	0.21047227926078	0.0107802874743326	0.199691991786448	22174.6166666667	0.00152919228063736	0.552181329899863	0.000594980329898385	-0.131773299209966	0.48536150552176	4	2	14.7508483066294	0.549686285858543	Connector Hub	cnidocyte
Nvec_vc1.1_XM_048726881.1	159	0	159	0.0138524002866014	0.0816221765913758	0	0.0816221765913758	0	0.00134991023096964	0.199935416795276	0.000501402672727516	-0.131773299209966	0.48536150552176	10	0	9.61276835351502	0.447371543847159	Connector Hub	cnidocyte
Nvec_vc1.1_XM_032376206.2	54	0	54	0.0174703004891684	0.0277207392197125	0	0.0277207392197125	0	0.00127197333943881	0.0492494511429969	0.000501402672727516	-0.131773299209966	0.48536150552176	3	2	1.83940227978199	0.5	Peripheral	cnidocyte
Nvec_vc1.1_XM_001639705.3	97	0	97	0.0403780068728522	0.0497946611909651	0	0.0497946611909651	0	0.00139161413323314	0.239930087620067	0.000501402672727516	-0.131773299209966	0.48536150552176	2	1	3.03590241406361	0.5537251567648	Connector Hub	cnidocyte
Nvec_vc1.1_XM_001629694.3	145	2	143	0.0243783993783994	0.074435318275154	0.00102669404517454	0.0734086242299795	4925.41666666667	0.00135775481663521	0.148636454005363	0.000504008252247294	-0.131773299209966	0.48536150552176	5	4	8.2851519912133	0.38474151234568	Connector Hub	cnidocyte
Nvec_vc1.1_XM_032378152.2	147	0	147	0.018358028142764	0.0754620123203285	0	0.0754620123203285	0	0.00122440983445979	0.256164632202331	0.000501402672727516	-0.131773299209966	0.48536150552176	2	1	5.9674065332832	0.363274561525291	Connector Hub	cnidocyte
Nvec_vc1.1_XM_032387080.2	76	0	76	0.00385964912280702	0.0390143737166324	0	0.0390143737166324	0	0.00109712881389404	0.0884931935962075	0.000501402672727516	-0.131773299209966	0.48536150552176	2	0	3.33969220417713	0.626385041551246	Connector Hub	cnidocyte
Nvec_vc1.1_XM_032383663.2	154	1	153	0.00490196078431373	0.0790554414784394	0.000513347022587269	0.0785420944558522	2498	0.00109598649744635	0.269625220927364	0.000502729506796538	-0.131773299209966	0.48536150552176	14	3	6.73770936126081	0.482976632918963	Connector Hub	cnidocyte
Nvec_vc1.1_XM_048730021.1	214	6	208	0.0169900742197979	0.109856262833676	0.00308008213552361	0.106776180698152	9931.58333333333	0.00139645300935624	0.332014271364717	0.000523242072662813	-0.131773299209966	0.48536150552176	10	0	12.0188797532611	0.495238519045924	Connector Hub	cnidocyte
Nvec_vc1.1_XM_032364887.2	471	13	458	0.00882366514375375	0.241786447638604	0.0066735112936345	0.235112936344969	15160.3333333333	0.00139082058414464	1	0.000550547637060944	-0.131773299209966	0.48536150552176	2	3	17.5103301033757	0.607953633608299	Connector Hub	cnidocyte
Nvec_vc1.1_XM_001635015.3	36	8	28	0.114285714285714	0.0184804928131417	0.00410677618069815	0.0143737166324435	3933.18333333333	0.00105521964396889	0.0641546545571613	0.000544442774248671	-0.131773299209966	0.48536150552176	4	2	0.970919363177901	0.600308641975309	Peripheral	cnidocyte
Nvec_vc1.1_XM_048723046.1	202	3	199	0.016090553778996	0.103696098562628	0.00154004106776181	0.102156057494867	1415.5	0.00143430866322432	0.218372075703902	0.000514656215483165	-0.131773299209966	0.48536150552176	5	4	10.5465582110372	0.475200000000001	Connector Hub	cnidocyte
Nvec_vc1.1_XM_048723945.1	157	11	146	0.0227460711331679	0.0805954825462012	0.00564681724845996	0.0749486652977413	3124.86666666667	0.00117609700448093	0.338218199858102	0.000544533288820624	-0.131773299209966	0.48536150552176	2	3	6.60791874991003	0.513477975016437	Connector Hub	cnidocyte
Nvec_vc1.1_XM_048730283.1	52	11	41	0.0761689291101056	0.026694045174538	0.00564681724845996	0.021047227926078	1022.33333333333	0.000694126303222138	0.121275892537955	0.000537968713172371	-0.131773299209966	0.48536150552176	5	4	2.12476953031366	0.545118343195266	Peripheral	cnidocyte
Nvec_v1g241767	100	4	96	0.0387123921733642	0.0513347022587269	0.00205338809034908	0.0492813141683778	2950.08333333333	0.00136720352191628	0.189965071798699	0.000513262105250956	-0.131773299209966	0.48536150552176	5	4	4.69809384942364	0.521449396084965	Connector Hub	cnidocyte
