gene	gene_module	membership_score	gene	gene_name	common_name	og	pfam	gene_list
Nvec_vc1.1_XM_001632810.3	darkolivegreen	0.963	Nvec_vc1.1_XM_001632810.3				7tm_1	
Nvec_vc1.1_XM_048731926.1	darkolivegreen	0.962	Nvec_vc1.1_XM_048731926.1				EF-hand_7/2OG-FeII_Oxy_3	
Nvec_vc1.1_XM_032363992.2	darkolivegreen	0.95	Nvec_vc1.1_XM_032363992.2	Pou4f3/Pou4f1/Pou4f2	Pou4	Homeodomains.HG4.6:POU4F1/POU4F2/POU4F3	Pou/Homeodomain	tfs
Nvec_vc1.1_XM_032377333.2	darkolivegreen	0.944	Nvec_vc1.1_XM_032377333.2				TSP_1	
Nvec_vc1.1_XM_048729806.1	darkolivegreen	0.936	Nvec_vc1.1_XM_048729806.1				Collagen/Collagen	
Nvec_vc1.1_XM_001641129.3	darkolivegreen	0.925	Nvec_vc1.1_XM_001641129.3	Zfp281/Zfp148	ZNF845	zf-C2H2.HG3.8:like:ZNF770	zf-C2H2/zf-C2H2/zf-C2H2/zf-H2C2_2/zf-C2H2	tfs
Nvec_vc1.1_XM_032365297.2	darkolivegreen	0.924	Nvec_vc1.1_XM_032365297.2				SET	
Nvec_vc1.1_XM_048727871.1	darkolivegreen	0.923	Nvec_vc1.1_XM_048727871.1				C2/C2	
Nvec_v1g19278	darkolivegreen	0.911	Nvec_v1g19278	Klf13	Klf13	zf-C2H2.HG2.12:KLF9/KLF13/KLF14/KLF16	zf-C2H2/zf-C2H2/zf-C2H2	tfs
Nvec_vc1.1_XM_001639701.3	darkolivegreen	0.905	Nvec_vc1.1_XM_001639701.3		NvSox2	HMGbox_Sox.HG1.14:like:SOX1/SOX2/SOX3/SOX14/SOX15/SOX21/SRY	HMG_box	tfs
Nvec_vc1.1_XM_032385286.2	darkolivegreen	0.905	Nvec_vc1.1_XM_032385286.2	Mfsd6			MFS_1_like	
Nvec_vc1.1_XM_032362615.2	darkolivegreen	0.894	Nvec_vc1.1_XM_032362615.2	Rab30			Ras	
Nvec_vc1.1_XM_032364375.2	darkolivegreen	0.876	Nvec_vc1.1_XM_032364375.2				2OG-FeII_Oxy_3	
Nvec_vc1.1_XM_032387167.2	darkolivegreen	0.874	Nvec_vc1.1_XM_032387167.2		FoxA/D	Forkhead.HG1.1:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3	Forkhead	tfs
Nvec_vc1.1_XM_001635956.3	darkolivegreen	0.856	Nvec_vc1.1_XM_001635956.3				Peptidase_A22B	
Nvec_vc1.1_XM_032376977.2	darkolivegreen	0.843	Nvec_vc1.1_XM_032376977.2				2OG-FeII_Oxy_3	
Nvec_vc1.1_XM_001640217.3	darkolivegreen	0.838	Nvec_vc1.1_XM_001640217.3				Gal-3-0_sulfotr	
Nvec_vc1.1_XM_001641449.3	darkolivegreen	0.825	Nvec_vc1.1_XM_001641449.3	Csgalnact2/Csgalnact1			CHGN	
Nvec_vc1.1_XM_048721414.1	darkolivegreen	0.82	Nvec_vc1.1_XM_048721414.1	Prdm13		zf-C2H2.HG1.7:PRDM13	zf-C2H2/zf-C2H2/zf-C2H2	tfs
Nvec_vc1.1_XM_048725236.1	darkolivegreen	0.78	Nvec_vc1.1_XM_048725236.1	Pcsk7			S8_pro-domain/Peptidase_S8/P_proprotein	
Nvec_vc1.1_XM_032365441.2	darkolivegreen	0.772	Nvec_vc1.1_XM_032365441.2	P4htm			2OG-FeII_Oxy_3	
Nvec_vc1.1_XM_048725566.1	darkolivegreen	0.77	Nvec_vc1.1_XM_048725566.1					
Nvec_vc1.1_XM_032377081.2	darkolivegreen	0.759	Nvec_vc1.1_XM_032377081.2	Xylt1/Xylt2			Branch/Xylo_C	
Nvec_vc1.1_XM_048720925.1	darkolivegreen	0.75	Nvec_vc1.1_XM_048720925.1				Tubulin/Tubulin/Tubulin_C	
Nvec_vc1.1_XM_001640805.3	darkolivegreen	0.749	Nvec_vc1.1_XM_001640805.3				Serinc	
Nvec_vc1.1_XM_048732496.1	darkolivegreen	0.736	Nvec_vc1.1_XM_048732496.1	Ercc5			XPG_N/XPG_I	
Nvec_vc1.1_XM_032384295.2	darkolivegreen	0.73	Nvec_vc1.1_XM_032384295.2	Scd3/Scd2/Scd1/Scd4			FA_desaturase	
Nvec_vc1.1_XM_032382395.2	darkolivegreen	0.729	Nvec_vc1.1_XM_032382395.2	Tgif1/Tgif2		Homeodomains.HG3.34:TGIF1	Homeobox_KN	tfs
Nvec_NVE8960	darkolivegreen	0.727	Nvec_NVE8960					
Nvec_vc1.1_XM_032379019.2	darkolivegreen	0.701	Nvec_vc1.1_XM_032379019.2	Mbnl2/Mbnl1/Mbnl3				
Nvec_vc1.1_XM_032379974.2	darkolivegreen	0.697	Nvec_vc1.1_XM_032379974.2	Mcfd2			EF-hand_7	
Nvec_vc1.1_XM_048726404.1	darkolivegreen	0.691	Nvec_vc1.1_XM_048726404.1				Avidin/Avidin	
Nvec_v1g241354	darkolivegreen	0.684	Nvec_v1g241354	Fbxo48			F-box-like	
Nvec_vc1.1_XM_001636403.3	darkolivegreen	0.682	Nvec_vc1.1_XM_001636403.3	Tlcd4			TRAM_LAG1_CLN8	
Nvec_vc1.1_XM_032376708.2	darkolivegreen	0.681	Nvec_vc1.1_XM_032376708.2	Golga1			GRIP	
Nvec_vc1.1_XM_001624724.3	darkolivegreen	0.678	Nvec_vc1.1_XM_001624724.3	Tbcel			LRR_9	
Nvec_vc1.1_XM_001621645.3	darkolivegreen	0.675	Nvec_vc1.1_XM_001621645.3				Avidin/Avidin	
Nvec_vc1.1_XM_048725024.1	darkolivegreen	0.675	Nvec_vc1.1_XM_048725024.1	/Dnajc25			DnaJ	
Nvec_vc1.1_XM_032380117.2	darkolivegreen	0.665	Nvec_vc1.1_XM_032380117.2				Ank_2/Ank_2/Ion_trans	
Nvec_vc1.1_XM_001624980.3	darkolivegreen	0.663	Nvec_vc1.1_XM_001624980.3	Pdia4			Thioredoxin/Thioredoxin/Thioredoxin_6/Thioredoxin	
Nvec_vc1.1_XM_032371507.2	darkolivegreen	0.658	Nvec_vc1.1_XM_032371507.2					
Nvec_vc1.1_XM_001637877.3	darkolivegreen	0.658	Nvec_vc1.1_XM_001637877.3	Tspan13/Tspan31			Tetraspanin	
Nvec_vc1.1_XM_032384181.2	darkolivegreen	0.656	Nvec_vc1.1_XM_032384181.2					
Nvec_vc1.1_XM_001625346.3	darkolivegreen	0.656	Nvec_vc1.1_XM_001625346.3	Hspa5			HSP70	
Nvec_vc1.1_XM_032382763.2	darkolivegreen	0.655	Nvec_vc1.1_XM_032382763.2	Spsb4/Spsb1			SPRY/SOCS_box	
Nvec_vc1.1_XM_032380213.2	darkolivegreen	0.641	Nvec_vc1.1_XM_032380213.2				EF-hand_7	
Nvec_vc1.1_XM_001637419.3	darkolivegreen	0.638	Nvec_vc1.1_XM_001637419.3	Bicd2/Bicd1			BicD	
Nvec_vc1.1_XM_001629694.3	darkolivegreen	0.637	Nvec_vc1.1_XM_001629694.3	Xbp1	XBP1	bZIP.HG1.16:XBP1	bZIP_1	tfs
Nvec_vc1.1_XM_001632295.3	darkolivegreen	0.636	Nvec_vc1.1_XM_001632295.3				FKBP_C	
Nvec_vc1.1_XM_032383565.2	darkolivegreen	0.633	Nvec_vc1.1_XM_032383565.2	Vmp1			SAP	
