cell_type	thr_exp_umifrac	thr_exp_fc	thr_gene_score	thr_accessibility
EMS	0.00981600670381595	1.01575924292663	0.990127181486618	0.117994702309143
EMS_ecto_boundary	0.00981600670381595	1.01575924292663	1.00707177578978	0.118994972570621
NPC_1	0.0106377131753397	1.00351624216386	1.00113711074167	0.110970264276254
NPC_2	0.00732751296184704	0.996727432345199	0.988952267081054	0.35859766129513
cnidocyte	0.00939565281935354	1	0.994773033918398	0.0933989485058584
cnidocyte_gastrula	0.00732751296184704	0.996727432345199	0.999394673300701	0.103892824281929
digestive_filaments_1	0.0133456335589301	1.00616285491437	1.00184621795464	0.074988823371646
digestive_filaments_2	0.0133456335589301	1.00616285491437	1.00109981322159	0.0451691049801609
digestive_filaments_3	0.0133456335589301	1.00616285491437	1.01136923949593	0.0480534047553558
ecto_aboral	0.00775040371020668	1.03817848808798	0.996410161601254	0.0869160940276568
ecto_pharynx	0.0122174582799794	0.97576689231517	1.0060064746811	0.0984714644852482
ectoderm	0.00812636835682237	1.18217598581923	0.997599460534845	0.0779757904876028
epidermis_1	0.0120316925243433	1.0092345651057	1.00745627869199	0.0565803359302061
epidermis_2	0.0120316925243433	1.0092345651057	0.996205597056864	0.0465685530145565
gastro_IRF1_2	0.0247770069375619	1	1.00592708950562	0.120551450171292
gastro_circular_muscle_1	0.00801067021272335	1.05251207890069	0.992656256963476	0.0639204969550331
gastro_circular_muscle_2	0.00801067021272335	1.05251207890069	0.988257424671218	0.0755273153540023
gastro_parietal_muscle	0.00801067021272335	1.05251207890069	0.988345372445449	0.0584209895784849
gastro_somatic_gonad	0.0248200546041201	0.986636557263307	1.01473690046677	0.103248251153768
gland	0.00969331728858529	1.05123997930548	1.00149389893511	0.0678993818750005
gland_mucin	0.00946481965969241	0.9943504384476	1.00369744655473	0.124262875374448
muscle_mesentery_retractor	0.0104120210253411	1.04855397343603	0.988399670972673	0.143432061557997
muscle_tentacle_retractor	0.0104120210253411	1.04855397343603	0.996970495230715	0.0996609622133072
neuron_GATA_Islet_1	0.0132844818653538	1.05753949661265	0.997563784847121	0.0676010568700617
neuron_GATA_Islet_2	0.0176233191759336	1.0645690558642	0.992844807249573	0.103024790054
neuron_Pou4_FoxL2_1	0.0163652059356602	1	0.996519094895658	0.0572066646931016
neuron_Pou4_FoxL2_2	0.0163652059356602	1	0.988581588931303	0.0634593232098855
neuron_Pou4_FoxL2_3	0.0173174416943385	1.00467147125736	0.99784503816408	0.0623841436748067
neuronal	0.0123946263097634	0.993803252343805	1.00860202756521	0.176642134119395
precursors_NPC	0.0115882240467237	1.04666938815453	0.999037361717332	0.134770465019924
precursors_PGC	0.0115882240467237	1.04666938815453	1.04893457999602	0.066233874328096
precursors_endoNPC	0.0115882240467237	1.04666938815453	1.02008889956141	0.103961667880259
