cell_type	thr_exp_umifrac	thr_exp_fc	thr_gene_score	thr_accessibility
EMS	0.00516631931779787	1.00475213248186	0.990747453912171	0.0818133229926005
NPC	0.00430944784190122	1	0.984813955185242	0.0635460691553374
cnidocyte	0.00563739169161213	0.983756511936462	0.976044027684937	0.0650078868093564
cnidocyte_gastrula	0.00418715026391259	0.986533176115246	0.987895628876383	0.0724190107140497
digestive_filaments	0.00917512307176448	1	1.00089091075196	0.0348826147847903
ecto	0.00284730420976655	1.02268577249805	0.995924612527996	0.062145145097841
epidermis	0.0083698730604127	1	0.995213710773254	0.0345856653674652
gastro	0.012388503468781	1	1.00316913566833	0.0630452499580869
gastro_circular_muscle	0.00534044680848223	1.03575009814886	0.980321506645372	0.0449937819839298
gastro_parietal_muscle	0.00534044680848223	1.03575009814886	0.976514826081785	0.0347712520434499
gland	0.00692379806327521	1.02679652712465	0.994590887235771	0.0465030508502472
gland_mucin	0.00552114480148724	0.981926902738252	0.994331231400141	0.0887916961156049
muscle	0.00694134735022742	1.03616377699599	0.985054677992187	0.0585387421973568
neuron_GATA_Islet	0.00840457285027026	1.04257739339792	0.984474459161322	0.0454547981878774
neuron_Pou4_FoxL2	0.0122739044517451	0.995140377381483	0.982275442449439	0.0372021383673589
neuron_Pou4_FoxL2_3	0.0129880812707539	1	0.9877061803397	0.0415231141435422
neuronal	0.00774664144360213	0.980556846033552	0.993968315882354	0.130319305633326
precursors	0.00869116803504279	1	1.02207086684704	0.0497187375040727
