cell_type	thr_exp_umifrac	thr_exp_fc	thr_gene_score	thr_accessibility
EMS	0.00981600670381595	1.01575924292663	1	0.111969779922879
NPC	0.00818885815637398	1.00087265056144	0.999195859702353	0.107709506602896
cnidocyte	0.00939565281935354	1	0.994773033918398	0.0933989485058584
cnidocyte_gastrula	0.00732751296184704	0.996727432345199	0.999394673300701	0.103892824281929
digestive_filaments	0.0133456335589301	1.00616285491437	1.00925493683382	0.0517009656852816
ecto	0.00704874597798519	1.05331350722749	1.00144682854478	0.0861802031318758
epidermis	0.0120316925243433	1.0092345651057	1.00302507250173	0.0523584871164396
gastro	0.0165395284583204	1	1.0186068091988	0.0897746516616388
gastro_circular_muscle	0.00801067021272335	1.05251207890069	0.991629077933659	0.0695756726199059
gastro_parietal_muscle	0.00801067021272335	1.05251207890069	0.988345372445449	0.0584209895784849
gland	0.00969331728858529	1.05123997930548	1.00149389893511	0.0678993818750005
gland_mucin	0.00946481965969241	0.9943504384476	1.00369744655473	0.124262875374448
muscle	0.0104120210253411	1.04855397343603	0.998230345262052	0.0867445100896218
neuron_GATA_Islet	0.0127970041475729	1.06665245662824	0.995634704777129	0.0697436709469351
neuron_Pou4_FoxL2	0.0163652059356602	1	0.995972000830861	0.0537469610606474
neuron_Pou4_FoxL2_3	0.0173174416943385	1.00467147125736	0.99784503816408	0.0623841436748067
neuronal	0.0123946263097634	0.993803252343805	1.00860202756521	0.176642134119395
precursors	0.0115882240467237	1.04666938815453	1.03922916602714	0.0697870452951274
